activity,f1,rate,split,csv_path
sit-ups,0.500000,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
sit-ups (complex),0.772727,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
stretching (hamstrings),0.761364,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
stretching (lumbar rotation),0.989796,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
stretching (lunging),0.000000,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
stretching (shoulders),0.107345,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
stretching (triceps),0.061728,6,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_6hz.csv
null,0.640319,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
bench-dips,0.000000,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
burpees,0.503937,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
jogging,0.928068,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
jogging (butt-kicks),0.794582,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
jogging (rotating arms),0.000000,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
jogging (sidesteps),0.935939,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
jogging (skipping),0.556863,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
lunges,0.274631,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
lunges (complex),0.667692,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
push-ups,0.000000,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
push-ups (complex),0.542254,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
sit-ups,0.532819,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
sit-ups (complex),0.688976,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
stretching (hamstrings),0.778761,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
stretching (lumbar rotation),0.994898,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
stretching (lunging),0.000000,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
stretching (shoulders),0.035149,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
stretching (triceps),0.062284,12,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_12hz.csv
null,0.719540,25,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_25hz.csv
bench-dips,0.000000,25,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_25hz.csv
burpees,0.493573,25,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_25hz.csv
jogging,0.929900,25,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_25hz.csv
jogging (butt-kicks),0.787472,25,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_25hz.csv
jogging (rotating arms),0.000000,25,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_25hz.csv
jogging (sidesteps),0.951034,25,loso_sbj_2,logs/deepconvlstm/50hz/loso_sbj_2/per_class_metrics_loso_sbj_2_25hz.csv
