model,rate_hz,split,activity,f1,source
pure_cnn,12,loso_sbj_2,climbingdown,0.0,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_2/per_class_metrics_loso_sbj_2.csv
pure_cnn,12,loso_sbj_3,walking,0.7368791828108489,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_3,running,0.5387974470943904,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_3,sitting,0.8153185397279885,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_3,standing,0.628707627118644,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_3,lying,0.8927613941018767,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_3,jumping,0.9485714285714286,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_3,climbingup,0.886986301369863,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_3,climbingdown,0.8008221225710015,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_3/per_class_metrics_loso_sbj_3.csv
pure_cnn,12,loso_sbj_4,walking,0.7606090055069646,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_4,running,0.6708321499573985,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_4,sitting,0.9534706331045004,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_4,standing,0.6590058792089791,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_4,lying,0.9841737210158262,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_4,jumping,0.9065934065934066,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_4,climbingup,0.7954245490541135,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_4,climbingdown,0.7433392539964476,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_4/per_class_metrics_loso_sbj_4.csv
pure_cnn,12,loso_sbj_5,walking,0.6272884283246978,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_5,running,0.9569449644327968,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_5,sitting,0.6549865229110512,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_5,standing,0.243010752688172,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_5,lying,0.9837182885270732,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_5,jumping,0.9689119170984456,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_5,climbingup,0.5820622330689444,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_5,climbingdown,0.6875543951261966,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_5/per_class_metrics_loso_sbj_5.csv
pure_cnn,12,loso_sbj_6,walking,0.8818897637795275,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_6,running,0.9406487232574188,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_6,sitting,0.6291856138900372,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_6,standing,0.629353974397142,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_6,lying,0.9850634802091112,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_6,jumping,0.9655172413793104,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_6,climbingup,0.8420307801167521,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_6,climbingdown,0.7772093023255814,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_6/per_class_metrics_loso_sbj_6.csv
pure_cnn,12,loso_sbj_7,walking,0.6686681222707423,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_7,running,0.8385826771653543,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_7,sitting,0.9043408360128616,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_7,standing,0.6877409406322282,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_7,lying,0.9811175337186898,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_7,jumping,0.6096256684491979,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_7,climbingup,0.247141041931385,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_7,climbingdown,0.4306898774983881,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_7/per_class_metrics_loso_sbj_7.csv
pure_cnn,12,loso_sbj_8,walking,0.7648127953471465,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_8,running,0.822475008617718,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_8,sitting,0.9734848484848484,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_8,standing,0.8031165717710519,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_8,lying,0.9876543209876544,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_8,jumping,0.9523809523809524,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_8,climbingup,0.7831010452961672,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_8,climbingdown,0.7634237107921319,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_8/per_class_metrics_loso_sbj_8.csv
pure_cnn,12,loso_sbj_9,walking,0.7890543817111189,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,12,loso_sbj_9,running,0.9125584742713206,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,12,loso_sbj_9,sitting,0.9028815368196372,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,12,loso_sbj_9,standing,0.8466386554621849,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,12,loso_sbj_9,lying,0.97585281717133,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,12,loso_sbj_9,jumping,0.9443099273607748,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,12,loso_sbj_9,climbingup,0.592436974789916,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,12,loso_sbj_9,climbingdown,0.6790595954073264,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/12hz/loso_sbj_9/per_class_metrics_loso_sbj_9.csv
pure_cnn,25,loso_sbj_0,walking,0.5948006932409012,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,25,loso_sbj_0,running,0.8020637898686679,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,25,loso_sbj_0,sitting,0.6650062266500623,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,25,loso_sbj_0,standing,0.2382880277617119,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,25,loso_sbj_0,lying,0.984965163182985,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,25,loso_sbj_0,jumping,0.7981651376146789,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,25,loso_sbj_0,climbingup,0.6167664670658682,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
pure_cnn,25,loso_sbj_0,climbingdown,0.5811011904761905,logs/deepconvlstm/lstm_vs_cnn/rwhar/pure_cnn/25hz/loso_sbj_0/per_class_metrics_loso_sbj_0.csv
