rate_hz,split,file,f1,acc,precision,recall
6,loso_sbj_0,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_0/best_macro_metrics_loso_sbj_0.csv,0.6673371885053337,0.715055093487501,0.6678469214015156,0.6678469214015156
6,loso_sbj_1,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_1/best_macro_metrics_loso_sbj_1.csv,0.6475766125014634,0.7018443236607781,0.6352041466073886,0.6352041466073886
6,loso_sbj_10,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_10/best_macro_metrics_loso_sbj_10.csv,0.5583055189086924,0.7324627755135061,0.5096696858171615,0.5096696858171615
6,loso_sbj_11,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_11/best_macro_metrics_loso_sbj_11.csv,0.8098136721219984,0.8550947031734456,0.7843662858037458,0.7843662858037458
6,loso_sbj_12,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_12/best_macro_metrics_loso_sbj_12.csv,0.697846892939587,0.8326171192718479,0.6497548507270136,0.6497548507270136
6,loso_sbj_13,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/best_macro_metrics_loso_sbj_13.csv,0.6769727920965508,0.8439644575914084,0.6179809685465687,0.6179809685465687
6,loso_sbj_14,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/best_macro_metrics_loso_sbj_14.csv,0.6151326377851504,0.7575614857723668,0.5675901861449213,0.5675901861449213
6,loso_sbj_15,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_15/best_macro_metrics_loso_sbj_15.csv,0.6344018321652033,0.7273175446880927,0.604053838920796,0.604053838920796
6,loso_sbj_16,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_16/best_macro_metrics_loso_sbj_16.csv,0.6969971835585349,0.8650166229150509,0.6337350311783282,0.6337350311783282
6,loso_sbj_17,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_17/best_macro_metrics_loso_sbj_17.csv,0.7214070790706819,0.8657315447480215,0.6835966001729283,0.6835966001729283
6,loso_sbj_18,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_18/best_macro_metrics_loso_sbj_18.csv,0.5937627140831349,0.7125670620760522,0.5674453723769761,0.5674453723769761
6,loso_sbj_19,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_19/best_macro_metrics_loso_sbj_19.csv,0.8115093233681734,0.872419698663218,0.7933311296212789,0.7933311296212789
6,loso_sbj_2,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_2/best_macro_metrics_loso_sbj_2.csv,0.5157802424594361,0.622834160067378,0.584341546023966,0.584341546023966
