rate_hz,split,activity,f1,file
6,loso_sbj_13,jogging (rotating arms),0.7352941176470589,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,jogging (sidesteps),0.8872549019607843,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,jogging (skipping),0.7311178247734139,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,lunges,0.4227886056971514,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,lunges (complex),0.7734553775743707,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,push-ups,0.286831812255541,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,push-ups (complex),0.5228070175438596,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,sit-ups,0.7801980198019802,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,sit-ups (complex),0.8098434004474273,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,stretching (hamstrings),0.93734335839599,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,stretching (lumbar rotation),0.900990099009901,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,stretching (lunging),0.2735562310030395,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,stretching (shoulders),0.6936936936936937,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_13,stretching (triceps),0.7784431137724551,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_13/per_class_metrics_loso_sbj_13.csv
6,loso_sbj_14,nan,0.4733210671573137,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,bench-dips,0.6002265005662514,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,burpees,0.5843179377013964,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,jogging,0.5749613601236476,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,jogging (butt-kicks),0.7246376811594203,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,jogging (rotating arms),0.6673095467695275,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,jogging (sidesteps),0.8457943925233645,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,jogging (skipping),0.4991896272285251,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,lunges,0.4823045267489712,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,lunges (complex),0.7268408551068883,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
6,loso_sbj_14,push-ups,0.4989154013015184,logs/deepconvlstm/standard_cnn_nolstm/6hz/loso_sbj_14/per_class_metrics_loso_sbj_14.csv
